simas_id,name,tipologi,founded_year,address,latitude,longitude,luas_tanah,status_tanah,luas_bangunan,daya_tampung_jamaah,jumlah_pengurus,jumlah_imam,jumlah_khatib,jumlah_muazin,jumlah_remaja_masjid,facilities,activities,image_url,detail_url
02.1.03.17.02.000084,BIRRUL WALIDAIN,Mushalla di tempat Publik,00,"Jl.Bahder Johan Jangkak Kel.Campago Ipuh | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.29566470793037,100.37169059783,0 m2,Wakaf,0 m2,0,3,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000084
02.1.03.17.02.000086,INYIAK JANGGUIK,Mushalla di tempat Publik,00,"BELAKANG LOKET ALS KEL.MANGGIS GANTING | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.29680379743754,100.38333661191,0 m2,Wakaf,0 m2,0,3,0,0,0,0,[],[],https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000086
02.1.03.17.02.000023,RM DANGAU GON RAYA,Mushalla di tempat Publik,2008,"Koto Ateh Kel.Pulai Anak Air | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-0.30672371874606,100.38532886378,0 m2,SHM,30 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000023
02.1.03.17.02.000090,AR-RAUDHAH,Mushalla di tempat Publik,2020,"JL. KUSUMA BHAKTI KELURAHAN KUBU GULAI BANCAH | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",0,0,338 m2,Wakaf,81 m2,80,6,1,0,3,15,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Gudang"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000090
02.1.03.17.03.000031,AN-NUR,Mushalla di tempat Publik,2012,"BIRUGO PUHUN (DEKAT LAPANGAN BOLA BIRUGO PUHUN) | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-0.31987739606729,100.37114813886,180 m2,BMN,100 m2,50,3,1,1,1,2,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Koperasi"",""Gudang""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000031
02.1.03.17.03.000027,DARUL WUSTHA,Mushalla di tempat Publik,1993,"Kel. Kubu Tanjung Bukittinggi | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,205 m2,Wakaf,144 m2,200,3,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Ruang Belajar (TPA/Madrasah)"",""Gudang"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan kegiatan sosial ekonomi (koperasi masjid)""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000027
02.1.03.17.03.000016,ISTIQAMAH,Mushalla di tempat Publik,1960,"RT/RW 001/003 Belakang Balok | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-0.95508,100.36955,132 m2,Wakaf,132 m2,110,6,1,0,1,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Perlengkapan Pengurusan Jenazah"",""Gudang"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000016
02.1.03.17.03.000029,PARAK TALEH,Mushalla di tempat Publik,2019,"Jalan Jalan Bermawi Batu Turak Turak Kapalo Koto Kelurahan Pakan Labuah Kecamatan Aur Birugo Tigo Baleh Kota Bukittinggi | Aur Birugo Tigo Baleh, Kota Bukittinggi | Sumatera Barat",-0.31546657138555,100.39284855196,144 m2,Wakaf,70 m2,50,11,2,0,1,40,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Perpustakaan"",""Tempat Penitipan Sepatu/Sandal"",""Gudang"",""Taman"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Kegiatan Hari Besar Islam"",""Menyelenggarakan Dakwah Islam/Tabliq Akbar"",""Menyelenggarakan Pengajian Rutin"",""Pemberdayaan Zakat, Infaq, Shodaqoh dan Wakaf""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.03.000029
02.1.03.17.02.000066,TUANKU KURAI,Mushalla di tempat Publik,0,"JL.VETERAN | Mandiangin Koto Selayan, Kota Bukittinggi | Sumatera Barat",-1.801460929468,116.1474609375,0 m2,SHM,0 m2,0,0,0,0,0,0,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset""]","[""Menyelenggarakan Ibadah Sholat Fardhu""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.02.000066
02.1.03.17.01.000015,ASH-SHABIRIN,Mushalla di tempat Publik,1991,"Situpo, Pakan Kurai | Guguak Panjang, Kota Bukittinggi | Sumatera Barat",-0.3062615458189,100.37975312309,270 m2,Wakaf,120 m2,150,21,1,0,1,27,"[""Sarana Ibadah"",""Tempat Wudhu"",""Kamar Mandi/WC"",""Pembangkit Listrik/Genset"",""Sound System dan Multimedia"",""Penyejuk Udara/AC"",""Kantor Sekretariat"",""Perpustakaan"",""Perlengkapan Pengurusan Jenazah"",""Ruang Belajar (TPA/Madrasah)"",""Gudang"",""Parkir""]","[""Menyelenggarakan Ibadah Sholat Fardhu"",""Menyelenggarakan Pengajian Rutin"",""Menyelenggarakan kegiatan pendidikan (TPA, Madrasah, Pusat Kegiatan Belajar Masyarakat)""]",https://simas.kemenag.go.id/assets/img/no-photo-masjid-2.png,https://simas.kemenag.go.id/profil/musahalla/02.1.03.17.01.000015
